jahr;Hid;pid;ln;pkzqu;lnpkzqu;hgew;alter;r000000;r002000nu;sex;r004000;r005000;r006000;R007000;epinc;epinc10;epinc4;epinc5;epinc3;activity;wi;jobless;arose;deprived4;povmd60
2019;4579100;457910001;2741;1;274101;302,15218;44;2;1974;1; ; ;2;1;41493,0777777778;9;4;5;3;1;3;0;0;0;0
2019;4579100;457910002;2741;2;274102;302,15218;43;2;1975;2; ; ;1;1;41493,0777777778;9;4;5;3;1;3;0;0;0;0
2019;4579100;457910003;2741;3;274103;302,15218;11;2;2007;1;1;2; ;-3;41493,0777777778;9;4;5;3; ;3;0;0;0;0
2019;4579300;457930001;1388;1;138801;326,38556;41;2;1977;1; ; ;2;1;33306,8866666667;8;3;4;2;1;3;0;0;0;0
2019;4579300;457930002;1388;2;138802;326,38556;45;2;1973;2; ; ;1;1;33306,8866666667;8;3;4;2;1;3;0;0;0;0
2019;4579400;457940001;4055;1;405501;1080,18411;37;1;1981;2; ; ; ;1;20090,58;3;2;2;2;1;3;0;0;0;0
2019;4579500;457950001;2231;1;223101;374,31056;50;1;1968;2; ; ; ;1;42144,47;9;4;5;3;1;3;0;0;0;0
2019;4579700;457970001;2928;1;292801;776,54673;62;1;1956;1; ; ;2;4;19908,7111111111;3;2;2;2;3;-1;-3;0;0;0
2019;4579700;457970002;2928;2;292802;776,54673;30;1;1988;2; ; ;1;5;19908,7111111111;3;2;2;2;-9;1;1;1;0;0
2019;4579700;457970003;2928;3;292803;776,54673;6;1;2012;1;1;2; ;-3;19908,7111111111;3;2;2;2; ;1;1;1;0;0
2019;4580000;458000001;4594;1;459401;497,76049;68;1;1950;1; ; ;2;4;25020,8266666667;5;2;3;2;3;-1;-3;0;0;0
2019;4580000;458000002;4594;2;459402;497,76049;61;1;1957;2; ; ;1;4;25020,8266666667;5;2;3;2;3;-1;-3;0;0;0
2019;4580300;458030001;7499;1;749901;531,25958;61;1;1957;2; ; ; ;4;22953,24;5;2;3;2;3;-1;-3;0;0;0
2019;4580400;458040001;4922;1;492201;634,69054;69;1;1949;2; ; ; ;4;29199,38;7;3;4;2;3;-1;-3;0;0;0
2019;4580500;458050001;4486;1;448601;2076,13844;46;1;1972;1; ; ;2;1;30917,048;7;3;4;2;1;3;0;0;0;0
2019;4580500;458050002;4486;2;448602;2076,13844;45;1;1973;2; ; ;1;1;30917,048;7;3;4;2;1;3;0;0;0;0
2019;4580500;458050003;4486;3;448603;2076,13844;26;1;1992;2;1;2; ;1;30917,048;7;3;4;2;1;3;0;0;0;0
2019;4580500;458050004;4486;4;448604;2076,13844;22;1;1996;1;1;2; ;1;30917,048;7;3;4;2;1;3;0;0;0;0
2019;4580700;458070001;3616;2;361602;702,6298;53;1;1965;2; ; ;1;1;37069,495;9;4;5;3;1;3;0;0;0;0
2019;4580700;458070002;3616;1;361601;702,6298;57;1;1961;1; ; ;2;1;37069,495;9;4;5;3;1;3;0;0;0;0
