Hid;pid;pkzqu;ln;lnpkzqu;rb062;rb062_f;rb063;rb063_f;rb064;rb064_f;dgew;ngew
4579100;457910001;1;2741;274101;400,808690858985;1;617,784623477715;1;1182,09684913417;1; ;1,0201330397
4579100;457910002;2;2741;274102;391,814749682856;1;598,602656269459;1;1113,63268151308;1; ;1,0201330397
4579100;457910003;3;2741;274103;393,459987322124;1;649,241651164359;1;1421,54704032216;1; ;1,0201330397
4579300;457930001;1;1388;138801;876,016373839902;1;1244,07187584805;1;2336,31571675642;1; ;1,0627827357
4579300;457930002;2;1388;138802; ; ; ; ; ; ; ;1,0627827357
4579400;457940001;1;4055;405501;1136,74626129188;1;1629,94999633576;1;3512,47555719886;1; ;1,0337409723
4579500;457950001;1;2231;223101;789,985450162843;1;1153,63081437038;1;2346,41664589999;1; ;1,0103607813
4579700;457970001;1;2928;292801;955,183384374179;1;1507,61560268709;1;3265,52795191263;1; ;1,0373267348
4579700;457970002;2;2928;292802;1339,3547682309;1;2299,02663472646;1;5516,14092634177;1; ;1,0373267348
4579700;457970003;3;2928;292803;930,910543063922;1;1573,11290320997;1;3744,82672205461;1; ;1,0373267348
4580000;458000001;1;4594;459401;614,918745061186;1;841,129581415494;1;1349,89504359074;1; ;1,0622456478
4580000;458000002;2;4594;459402;643,887909770369;1;876,751000138637;1;1417,35936713475;1; ;1,0622456478
4580300;458030001;1;7499;749901;581,53787153356;1;838,008979965775;1;1563,38354806695;1; ;1,0036070225
4580400;458040001;1;4922;492201;738,161968489349;1;1046,74167434671;1;1988,3788752682;1; ;1,014794705
4580500;458050001;1;4486;448601;2300,9984685685;1;3548,85081297078;1;7060,66887924665;1; ;1,0150911381
4580500;458050002;2;4486;448602;2892,95299914198;1;4422,33747453055;1;8617,65460916356;1; ;1,0150911381
4580500;458050003;3;4486;448603;4149,0359438386;1;6308,18687490295;1;11493,0472587726;1; ;1,0512214058
4580500;458050004;4;4486;448604;3356,45494196048;1;5124,12887906559;1;9460,43219094206;1; ;1,0300060187
4580700;458070001;2;3616;361602;888,425393322276;1;1324,65974864236;1;2857,09201059836;1; ;1,021651517
4580700;458070002;1;3616;361601;892,265028558481;1;1342,06106739905;1;2962,36246928444;1; ;1,0386776861
4580700;458070004;3;3616;361603;1084,78103573444;1;1615,76702259551;1;3527,12053305366;1; ;1,0430501544
4581200;458120001;1;1231;123101;764,626145601872;1;1101,17395141337;1;1771,84134161011;1; ;1,021651517
4581200;458120002;2;1231;123102;779,583704196529;1;1113,0248770968;1;1723,09761780021;1; ;1,021651517
4582400;458240001;1;7313;731301;1118,76780750086;1;1670,92802250807;1;3432,47567683725;1; ;1,057542009
4582400;458240002;2;7313;731302;1067,50928394119;1;1580,27502825515;1;3184,08044457638;1; ;1,0196239817
4582500;458250001;2;8633;863302;647,735585009222;1;899,464055282334;1;1777,25981524185;1; ;1,0055851395
4582500;458250002;1;8633;863301;638,349239274314;1;893,414119042428;1;1757,3167394012;1; ;1,0095340438
4582600;458260001;1;2908;290801;1128,40100185368;1;1770,35212452943;1;3825,23088950253;1; ;1,0672127124
4582600;458260002;2;2908;290802;1664,45655515932;1;2879,38248253871;1;7065,50580155198;1; ;1,0672127124
4582600;458260003;3;2908;290803;1265,17398474808;1;2161,68014155378;1;5047,98777974885;1; ;1,0672127124
4583100;458310001;2;1;102;629,911956995365;1;917,165280177817;1;1721,03601826662;1; ;1,1415559105
4583100;458310002;1;1;101;626,276889153487;1;904,747245726344;1;1705,43836388613;1; ;1,1415559105
4583200;458320001;1;3227;322701;843,251326686325;1;1248,55851188031;1;2580,78774704894;1; ;1,0321021886
4583200;458320002;2;3227;322702;1071,67188876168;1;1572,74376802055;1;3187,63134635499;1; ;1,0321021886
4583200;458320003;3;3227;322703;818,218640847371;1;1199,52369224803;1;2444,8707833181;1; ;1,0321021886
4583200;458320004;4;3227;322704;916,666932598713;1;1469,04016788144;1;3292,99976336234;1; ;1,0321021886
4583300;458330001;1;303;30301;675,042729395733;1;954,410629893306;1;1733,99471457995;1; ;1,0175374285
4583300;458330002;2;303;30302;673,306528488031;1;959,413853514899;1;1735,35838129159;1; ;1,0175374285
4583800;458380001;1;8219;821901;827,821970016819;1;1159,22565344156;1;1953,21723912069;1; ;1,0073116137
4584100;458410001;1;395;39501;1183,31810880601;1;1711,85823449063;1;3754,22186266042;1; ;1,3831967641
4584200;458420001;1;3132;313201;1375,15764420914;1;1974,06839983897;1;4178,15299807932;1; ;1,0008760633
4584300;458430001;1;1162;116201;588,110729123056;1;844,716190908387;1;2216,04613328543;1; ;1,0112703446
4584300;458430002;2;1162;116202;639,557554528646;1;911,321247925591;1;2333,0878319454;1; ;1,0112703446
4584300;458430003;3;1162;116203;628,040335708029;1;892,906812373064;1;2322,59951862419;1; ;1,0112703446
4584400;458440001;1;7992;799201;2359,11092077699;1;3496,28922737144;1;6911,23246529919;1; ;1,0463618576
4584400;458440002;2;7992;799202;2339,40205961628;1;3458,22220814781;1;6893,54837473285;1; ;1,0463618576
4584600;458460001;1;8082;808201;653,506478044864;1;1016,24927033752;1;2403,15609737452;1; ;1,0113698533
4584600;458460002;2;8082;808202;687,247670018819;1;1064,28097477653;1;2492,37620318076;1; ;1,033339014
4584600;458460003;3;8082;808203;663,457705220348;1;1115,29148982564;1;0;1; ;1,033339014
4584900;458490001;2;8890;889002;4408,77635446854;1;6917,6400258863;1;13815,055605232;1; ;1,0541486037
4584900;458490002;1;8890;889001;3816,22033843871;1;5987,88335770943;1;11958,2605100647;1; ;1,0888818322
4584900;458490007;3;8890;889003;4820,98395147313;1;0;1;0;1; ;1,0517437888
4584900;458490010;4;8890;889004; ; ; ; ; ; ; ;0
4585100;458510001;1;6588;658801;742,280453718991;1;1013,25935389971;1;2000,64704388672;1; ;1,0428779901
4585300;458530001;1;8291;829101;636,021798928282;1;949,38161968419;1;1858,47438419153;1; ;1,0112703446
4585300;458530002;2;8291;829102;626,331242514285;1;926,651041756002;1;1775,35191503061;1; ;1,0343678582
4585300;458530003;3;8291;829103;646,010835429344;1;1032,26677403356;1;2251,66241414777;1; ;1,0343678582
4585300;458530004;4;8291;829104;636,562100445167;1;1017,16855176561;1;2218,72897052995;1; ;1,0192389034
4585600;458560001;1;7356;735601;1142,33730896637;1;1593,72795689734;1;3244,1830688411;1; ;1,1776232948
4585700;458570001;2;4428;442802;697,036416958489;1;949,791242039084;1;1879,51659616125;1; ;1,0816982483
4585700;458570002;1;4428;442801;968,233432882893;1;1324,92748740681;1;2657,88901639231;1; ;1,0816982483
4585700;458570003;3;4428;442803;700,935755949868;1;1036,64894031933;1;2333,09076382741;1; ;1,0816982483
4585700;458570004;4;4428;442804;854,444687381287;1;1277,67850861792;1;2821,1306594884;1; ;1,0816982483
4585800;458580001;1;7005;700501;1065,07748781457;1;1552,6398263562;1;2906,83791125105;1; ;1,007952246
4586000;458600001;1;1419;141901;1655,76764644333;1;2222,64219059758;1;4076,47357832909;1; ;1,1037501402
4586800;458680001;1;2640;264001;501,622938852899;1;767,513763059147;1;1306,46557395028;1; ;1,0905220982
4586800;458680002;2;2640;264002;495,245685679662;1;751,064008429862;1;1245,24731936064;1; ;1,0506736815
4586800;458680003;3;2640;264003;494,137523042842;1;809,160217547574;1;1566,02418479692;1; ;1,0506736815
4586800;458680004;4;2640;264004;513,463837264424;1;849,977307916389;1;1614,32941232774;1; ;1,0506736815
4587000;458700001;1;4194;419401;834,299530262481;1;1226,67018753106;1;2647,90949246701;1; ;1,1845949524
4587000;458700002;2;4194;419402;873,430032177895;1;1273,79613383717;1;2763,26296781875;1; ;1,3297554449
4588200;458820001;2;5715;571502;800,09420139899;1;1213,38151022866;1;2011,75939202937;1; ;1,021651517
4588200;458820002;1;5715;571501;863,864511495543;1;1321,76551476572;1;2249,91553896476;1; ;1,021651517
4588200;458820003;4;5715;571504;821,69164857097;1;1345,53674252555;1;0;1; ;1,021651517
4588200;458820004;3;5715;571503; ; ; ; ; ; ; ;0
4588300;458830001;1;2900;290001;877,803065575013;1;1212,49750070681;1;2488,96552165355;1; ;1,0060568744
4588800;458880001;1;7448;744801;832,168044641634;1;1232,14807089014;1;2546,86713810021;1; ;1,0015794461
4588800;458880002;2;7448;744802;869,08213609324;1;1275,75435807039;1;2433,97695204327;1; ;1,0028214799
4588800;458880003;3;7448;744803;885,45383870234;1;1498,47870049147;1;2761,19408252957;1; ;1,0015794461
4588800;458880004;4;7448;744804;733,813298245661;1;1163,16161684231;1;2657,74246089911;1; ;1,0028214799
4589100;458910001;2;4811;481102;620,913172894929;1;933,919148354117;1;2061,46136091414;1; ;1,0430501544
4589100;458910002;1;4811;481101;603,052972161136;1;899,163851602361;1;1939,36130335726;1; ;1,0430501544
4589100;458910003;3;4811;481103;630,915961279077;1;1015,58319502286;1;2512,52234168117;1; ;1,0430501544
4589200;458920001;1;78;7801;2919,01853344374;1;4480,18570957623;1;10066,6118766264;1; ;1,4165163206
4589300;458930001;1;8982;898201;617,08391947437;1;902,183552802915;1;1673,41821813482;1; ;1,0119711059
4589400;458940001;1;6421;642101;759,322929226534;1;1140,77561557561;1;2072,44342355331;1; ;1,1342240492
4589400;458940002;2;6421;642102;731,782071681097;1;1089,69298980369;1;1934,810537956;1; ;1,1342240492
4589400;458940003;3;6421;642103;747,576397977696;1;1214,96103992831;1;2428,19199723387;1; ;1,1342240492
4589400;458940004;4;6421;642104;758,665473588056;1;0;1;0;1; ;1,1342240492
4590100;459010001;1;1722;172201;748,755092346443;1;1097,10945746499;1;2263,02670788032;1; ;1,0062409608
4590300;459030001;1;4369;436901;1332,68336074204;1;1909,47778234671;1;3692,7357862364;1; ;1,0791887495
4590300;459030002;2;4369;436902;1089,61915158011;1;1547,55474689624;1;2916,74122876541;1; ;1,1414606466
4590500;459050001;1;7558;755801;889,550448060096;1;1243,88190159129;1;2660,45980247265;1; ;1,008299176
4590800;459080001;1;853;85301;1822,25240561285;1;2675,39954153663;1;5388,83464711242;1; ;1,1619979282
4590800;459080002;2;853;85302;1097,36032674482;1;1606,79051797672;1;3293,20636485489;1; ;1,0725023789
4591000;459100001;1;2424;242401;817,613409314683;1;1230,09368248327;1;2123,69451957037;1; ;1,0024627761
4591000;459100002;2;2424;242402; ; ; ; ; ; ; ;0
4591200;459120001;1;7640;764001;702,299804765811;1;1018,67322438331;1;2221,09956829452;1; ;1,0027745473
4591500;459150001;1;4173;417301;1070,58863760535;1;1505,16840965749;1;3054,14716167976;1; ;1,0797729269
4591900;459190001;1;3897;389701;1003,98017984033;1;1536,15105327553;1;2614,84362116551;1; ;1,0386776861
4591900;459190002;2;3897;389702;976,684965019671;1;1481,18993463648;1;2455,77976692818;1; ;1,021651517
4591901;459190003;1;7029;702901;1040,41755126787;1;1469,81375104332;1;3130,53714437827;1; ;1,0130519649
4591900;459190004;3;3897;389703;1191,08799721231;1;1796,76008888179;1;2980,35715161627;1; ;1,0769036348
4591900;459190005;4;3897;389704;1013,47273914;1;1677,68159691692;1;3186,35653116798;1; ;1,0430501544
4592000;459200001;1;1880;188001;764,473598404037;1;1096,15820288808;1;2362,17608093684;1; ;1,0502731853
4592400;459240001;1;7252;725201;974,751424179641;1;1350,00771534543;1;2533,96572447786;1; ;1,0298797366
4592401;459240002;1;342;34201;1113,42239268088;1;1601,04040437985;1;3137,26334053914;1; ;1,0298797366
4592900;459290001;2;3758;375802;558,474409534562;1;795,786261785127;1;1439,39380700643;1; ;1,0308464947
4592900;459290002;1;3758;375801;595,786649256394;1;842,354248756702;1;1530,40815912892;1; ;1,0308464947
4593300;459330001;1;5684;568401;719,181887602298;1;1140,35321137367;1;2588,86402099717;1; ;1,0054209335
4593300;459330002;2;5684;568402;703,319744398449;1;1125,16114108827;1;2591,35215734538;1; ;1,0054209335
4593300;459330003;3;5684;568403;745,618550578694;1;0;1;0;1; ;1,0054209335
4593800;459380001;1;7595;759501;1051,76063701499;1;1521,53938470859;1;3336,83964471015;1; ;1,0776668015
4594300;459430001;1;4495;449501;1291,01936806146;1;2010,17402494703;1;4272,44963656398;1; ;1,0226314371
4594300;459430002;2;4495;449502;1465,2224974972;1;2473,43029282837;1;5725,21423418674;1; ;1,0386327167
4594300;459430003;3;4495;449503;1269,39495975573;1;2109,46219200608;1;4804,99783500189;1; ;1,0386327167
4594300;459430004;4;4495;449504;1250,44340486058;1;0;1;0;1; ;1,0226314371
4594400;459440001;1;3308;330801;1711,01292163356;1;2519,56533515466;1;4711,42942732643;1; ;1,0040113747
4594500;459450001;1;33;3301;840,642945124869;1;1238,54457090088;1;2570,33330633153;1; ;1,0734093414
4594600;459460001;1;6828;682801;877,651070244375;1;1278,25231383374;1;2586,97302257822;1; ;1,1302587051
4594600;459460002;2;6828;682802;822,906410432111;1;1208,17699371191;1;2433,53037274553;1; ;1,0758319081
4594900;459490001;1;3608;360801;1269,91627639248;1;2010,34388233273;1;4316,72473358434;1; ;1,0077759668
4594900;459490002;2;3608;360802;1371,50064229494;1;2167,59056008337;1;4633,15074299865;1; ;1,0077759668
4594900;459490003;3;3608;360803;1304,145151413;1;2226,41070577013;1;0;1; ;1,0077759668
4595400;459540001;1;1289;128901;446,2859543287;1;637,170026506235;1;986,416545935929;1; ;1,0430501544
4595400;459540002;2;1289;128902;579,130424185023;1;822,193052190352;1;1293,28530710311;1; ;1,1312774056
4595700;459570001;1;3423;342301;978,576292355385;1;1358,87887078582;1;2685,02203800773;1; ;1,0443300021
4595700;459570002;2;3423;342302;1127,50766593045;1;1578,02532860537;1;3103,92489445939;1; ;1,0443300021
4595900;459590001;1;7463;746301;649,880109736518;1;935,922806851196;1;1505,94437836662;1; ;1,0400309349
4595900;459590002;2;7463;746302;621,700779174075;1;887,612747170469;1;1374,13227830802;1; ;1,0224090569
4596000;459600001;1;4204;420401;2157,08931961165;1;2998,57849334796;1;5730,88984110693;1; ;1,122496816
4596300;459630001;1;4843;484301;783,717110472399;1;1043,06271702071;1;1853,04592901035;1; ;1,1966100485
4596300;459630002;2;4843;484302; ; ; ; ; ; ; ;1,3512188886
4596400;459640001;1;5135;513501;1625,23982146105;1;2472,81838644542;1;4132,97972717002;1; ;1,0112703446
4596400;459640002;2;5135;513502;1556,2152061602;1;2387,14135136952;1;3970,6859251745;1; ;1,0112703446
4596400;459640003;4;5135;513504;1714,01110196487;1;2599,38064269721;1;4309,7149390549;1; ;1,0224090569
4596400;459640004;3;5135;513503;1586,53505251913;1;2427,49562284529;1;4132,09458228044;1; ;1,0400309349
4596400;459640005;5;5135;513505;2022,37887436531;1;3050,76506065198;1;5060,42488514635;1; ;1,0400309349
4596500;459650001;1;708;70801;969,105115957988;1;1389,57385125642;1;2994,47479887932;1; ;1,383644976
4596600;459660001;1;4946;494601;872,687149893291;1;1221,26370749417;1;2250,64298333476;1; ;1,0400309349
4596600;459660002;2;4946;494602; ; ; ; ; ; ; ;1,0224090569
4596800;459680001;1;4142;414201;730,985238883558;1;1047,36062142651;1;2025,48889732733;1; ;1,0804352832
4596800;459680002;2;4142;414202;678,0377988345;1;962,997587404528;1;1815,0018744201;1; ;1,0471198042
4597100;459710001;1;2784;278401;837,386007916174;1;1197,66687239576;1;2589,64215931911;1; ;1,0125136998
4597100;459710002;2;2784;278402;815,163760766456;1;1175,30941821928;1;2529,06830002241;1; ;1,0213613576
4597200;459720001;1;8133;813301;1391,5984330591;1;1948,33108436223;1;3232,12584026411;1; ;1,2965087646
4597200;459720002;2;8133;813302; ; ; ; ; ; ; ;1,5061516459
4597300;459730001;1;2191;219101;946,879001554633;1;1398,70009571321;1;2871,1073821921;1; ;1,0018104188
4598000;459800001;1;3791;379101;684,168241812615;1;1002,7677351891;1;2079,08605721315;1; ;1,0112703446
4598000;459800002;2;3791;379102;671,538779501674;1;975,550794667969;1;1985,07357600677;1; ;1,0192389034
4598000;459800003;3;3791;379103;649,163806391177;1;1029,66844359536;1;2306,76721510804;1; ;1,0112703446
4598000;459800004;4;3791;379104;654,279056411392;1;1037,78197591966;1;2324,94396946116;1; ;1,0192389034
4598100;459810001;2;4692;469202;758,426241570646;1;1141,75802321962;1;2405,55501965412;1; ;1,0064806195
4598100;459810002;1;4692;469201;766,334591451646;1;1163,9597351697;1;2498,36190688066;1; ;1,0064806195
4598100;459810003;3;4692;469203;708,136241030812;1;1151,49503679055;1;2719,76366934734;1; ;1,0064806195
4598200;459820001;1;6532;653201;1209,39554582907;1;1692,63310688524;1;3329,3546956502;1; ;1,0102987721
4598200;459820002;2;6532;653202;1254,32994995606;1;1741,79824230824;1;3441,636165596;1; ;1,0102987721
4598500;459850001;1;3081;308101;956,771208891039;1;1433,47053698595;1;2774,34284754372;1; ;1,0097594462
4598500;459850002;2;3081;308102;956,303240845157;1;1444,49120118198;1;2781,95778133189;1; ;1,0097594462
4599300;459930001;1;965;96501;866,367614131434;1;1245,29693648021;1;2682,20093943113;1; ;1,0016390993
4599600;459960001;1;9259;925901;1577,57796239192;1;2572,9765378301;1;5961,42380134065;1; ;1,0699498655
4599600;459960002;2;9259;925902;1058,74208227491;1;1559,08499568335;1;3115,45241952779;1; ;1,0699498655
4599800;459980001;1;2212;221201;694,889869273919;1;968,903032413847;1;1815,14871393471;1; ;1,0481946456
4599800;459980002;2;2212;221202;734,285035870336;1;1032,97953977292;1;1979,80250567795;1; ;1,0481946456
4599800;459980003;3;2212;221203;708,512966736923;1;982,939026823053;1;1834,07467194409;1; ;1,0958264003
4599800;459980004;4;2212;221204;781,731113058656;1;1263,40140158257;1;2212,62054770313;1; ;1,0958264003
4599800;459980005;5;2212;221205;675,695365536279;1;1017,65354358743;1;2184,79361763731;1; ;1,0958264003
