"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","PROP_NOG","PROP0NOG","OWNYG","OWNYG_","NEWMRTG","NEWMRTG_","ORGMRTG","ORGMRTG_","QMRTTRMG","QMRT_RMG","MRTPMTG","MRTPMTG_","PAYPRTXG","PAYP_TXG","PAYPRING","PAYP_ING","PAYMRING","PAYM_ING","PAYOTHRG","PAYO_HRG","QESCROWG","QESC_OWG","QPRINM1G","QPRI_M1G","QPRINM2G","QPRI_M2G","QPRINM3G","QPRI_M3G","QADINT1G","QADI_T1G","QADINT2G","QADI_T2G","QADINT3G","QADI_T3G","QRFINDTG","QRFI_DTG","FRSTPYMG","FRST_YMG","FRSTPYRG","FRST_YRG","FIXDRTEG","FIXD_TEG","QNEWDATG","QNEW_ATG","QBLNCM1G","QBLN_M1G","QBLNCM2G","QBLN_M2G","QBLNCM3G","QBLN_M3G","LOAN_NOG","LOAN0NOG","VARRTEG","VARRTEG_","INTONLYG","INTO_LYG","OTHRTEG","OTHRTEG_","PAYMT1G","PAYMT1G_","PAYMT2G","PAYMT2G_","PAYMT3G","PAYMT3G_","PAYPRNPG","PAYP_NPG","PAYINTG","PAYINTG_"
"20191","03892084","15","0","1","01","D","100","D",".0679","D","100000","D","20","D","800","D","","B","","B","","B","","B","37","D","388","D","390","D","392","D","375","D","373","D","371","D","","A","10","D","2008","D","1","D","","A","66265","D","65877","D","65487","D","01","D","","A","","A","","A","","A","","A","","A","1","D","2","D"
"20191","03892254","22","0","5","01","D","100","D",".0600","D","30000","D","14","D","267","D","","B","","B","","B","","B","3","D","251","D","252","D","253","D","13","D","12","D","11","D","","A","08","D","2005","D","1","D","","A","2661","D","2411","D","2159","D","01","D","","A","","A","","A","","A","","A","","A","1","D","2","D"
"20191","03893054","33","0","5","01","D","100","D",".0460","D","25000","D","15","D","225","D","","B","","B","","B","","B","32","D","115","D","115","D","116","D","78","D","78","D","77","D","","A","02","D","2015","D","1","D","","A","20353","D","20238","D","20122","D","01","D","","A","","A","","A","","A","","A","","A","1","D","2","D"
"20191","03899804","25","0","5","01","D","100","D",".0475","D","58000","D","6","D","1000","D","","B","","B","","B","","B","73","D","","A","","A","","A","","A","","A","","A","","A","02","D","2019","D","1","D","","A","","A","","A","","A","01","D","","A","","A","","A","","A","","A","","A","1","D","2","D"
"20191","03901454","23","0","5","01","D","100","D",".0670","D","67732","D","20","D","513","D","","A","","A","","A","","A","0","D","469","D","472","D","475","D","44","D","41","D","38","D","","A","02","D","2000","D","1","D","","A","7830","D","7361","D","6889","D","01","D","","A","","A","","A","","A","","A","","A","1","D","2","D"
"20191","03901454","24","0","5","01","D","100","D",".0714","D","30331","D","15","D","275","D","","A","","A","","A","","A","0","D","167","D","168","D","169","D","108","D","107","D","106","D","","A","10","D","2010","D","1","D","","A","18139","D","17972","D","17804","D","02","D","","A","","A","","A","","A","","A","","A","1","D","2","D"
"20191","03905134","32","0","5","01","D","100","D",".0525","F","100000","F","15","F","804","F","","A","","A","","A","","A","0","F","982","F","986","F","990","F","30","F","26","F","22","F","","A","06","F","2004","F","2","F","","A","5530","F","4750","F","3967","F","01","D","","A","","A","","A","1012","F","1012","F","1012","F","1","D","2","D"
"20191","03905794","30","0","5","01","D","100","D",".0450","D","115787","D","10","D","1200","D","","A","","A","","A","","A","0","D","780","D","783","D","786","D","420","D","417","D","414","D","","A","06","D","2018","D","1","D","","A","111929","D","111149","D","110366","D","01","D","","A","","A","","A","","A","","A","","A","1","D","2","D"
"20191","03906174","22","0","5","01","D","100","D",".0474","D","80000","D","10","D","838","D","","A","","A","","A","","A","0","D","832","D","835","D","838","D","368","D","365","D","362","D","","A","08","D","2016","D","2","D","","A","65147","D","64566","D","63982","D","01","D","","A","2","D","","A","1200","D","1200","D","1200","D","1","D","2","D"
"20191","03906634","22","0","5","01","D","100","D",".0500","D","8000","D","8","D","180","D","","B","","B","","B","","B","79","D","92","D","92","D","92","D","9","D","9","D","9","D","","A","10","D","2012","D","1","D","","A","2241","D","2149","D","2057","D","01","D","","A","","A","","A","","A","","A","","A","1","D","2","D"
"20191","03908474","24","0","5","01","D","100","D",".0440","D","60000","D","10","D","619","D","","A","","A","","A","","A","0","D","495","D","497","D","498","D","84","D","82","D","81","D","","A","06","D","2012","D","2","D","","A","24581","D","24052","D","23521","D","01","D","","A","","A","3","D","579","D","579","D","579","D","1","D","2","D"
